[0.48543150345531044, 1.8849229487609358]
[2.3588668094776954, 1.1151148363637622]
[0.16063060899761294, -0.44389084029114029]
[1.712532519556192, 3.7396260038079641]
[0.71558196883951641, 0.49234389964137076]
[3.1507252609031493, 2.0284428499441054]
[0.40573528581392176, -2.9777656180530867]
[1.3035873765032457, 1.4012357409938194]
[1.456758019389784, 2.5193909920655235]
[1.3297235323358003, 3.5664105180363044]
[-0.21241981727659015, 0.68494194828223476]
[2.0403741770316004, 0.4010535397629722]
[-0.13736492000984968, -0.94356844347637181]
[1.4576763017937069, 2.4513990953575173]
[-1.227310851781757, 0.24806435949665476]
[1.4830831979726657, 3.8906096876000129]
[-0.0043163671280828375, -0.84192005189708896]
[1.4852883303376754, 2.692733297698084]
[-1.0017740059125588, -0.34923403341124026]
[2.4710278865126187, 1.6551450023190382]
[-0.73393584502479947, 0.01484807554135394]
[1.1820043127053155, 2.2445873899608522]
[-1.4159516882206584, 1.1844421176587681]
[2.535831789085762, 1.1416477952904258]
[-0.27780089228226618, -0.023328441281641191]
[3.2910577013608813, 2.1107214975787407]
[1.2906675898677409, -0.99555348900222373]
[0.69828668482644618, 3.2796214876521734]
[0.012695131486064987, -0.3627787661132148]
[4.805204113068009, 2.5254874635427642]
[0.26463211407694681, 0.73995505428522024]
[1.577739687044333, 1.8421354358492099]
[0.42226819981312758, 0.49856507509226278]
[1.5849555619475986, 1.5463870105352246]
[0.53488553701491592, -0.4987149098789303]
[0.88590781988540623, 1.2868041234445022]
[-1.6873350358928736, 1.0299109855376178]
[0.80633261086647789, 2.5655384857122536]
[1.7274024628603291, -0.25287213723864638]
[2.21310821832886, 2.0486900038856448]
[1.0914509251480189, -0.47244685225061406]
[1.4718541759463188, 4.2143399790232641]
[1.6764476820258221, -0.90170736440356636]
[2.5063090514610558, 2.7097803249200014]
[-0.057930217112997361, -0.54362827728769436]
[-0.049561673314171717, 0.84356848776878768]
[0.34725707884466461, -0.24781196419514226]
[2.6059393686335159, 2.5713007732656727]
[-0.59319095014307033, -1.1709896400667532]
[0.28699871308995517, 4.3593623548303775]
[0.40686741634456364, 1.1263887058603066]
[1.7820972432346678, 2.448302569417335]
[-1.2579927735032834, -1.1439662508205144]
[1.4313607212479835, 1.558372403940965]
[0.081807221936411753, -0.1786310240307587]
[3.6311918572062241, 1.1213105375328705]
[-0.27893944049422686, 1.7023212344072589]
[0.47245429575347475, 1.3748567789360162]
[0.14327860736284978, 1.1010716453808922]
[1.370612170033326, 2.5637216786249901]
[-1.4810854941073679, 1.1045396445425251]
[1.2448888850139861, 2.2310763725506138]
[0.90342643978313231, 1.4167851114147669]
[2.2734855850172098, 2.2546848881187951]
[-1.0478769381706283, 1.1252561764007853]
[-0.30656113930565665, 1.6673419913914771]
[0.53722021824899158, -1.324195791302891]
[1.931153708878548, 2.5002126361232895]
[0.013072516721826142, 1.212733495497937]
[1.8220072987747034, 3.3065964509407673]
[1.2755196908905828, -0.21812219527386334]
[1.9644750842484962, 0.97200782493744597]
[1.3147754867301642, 2.4973911241262656]
[2.0364598954088677, 3.3864164655597291]
[-0.76427849622608923, -0.17981562033916348]
